EN;FR;EG
Sweet tooth;Gourmandise / aimer le sucré;"I have a sweet tooth; I love chocolate."
A prank;Une farce / une blague;They played a prank on their teacher.
Sink;Évier / (to sink = couler);The ship sank.
Altitude;Altitude;The plane is flying at a high altitude.
Fast;Rapide / jeûner;He runs fast.
Fast (to fast);Jeûner;She is fasting for health reasons.
Quick;Rapide (adj.);She gave me a quick answer.
Greedy;Gourmand / avide;Don’t be greedy, share with others.
Chocolate;Chocolat (indénombrable);I love chocolate.
Chocolates;Chocolats (pièces individuelles);He gave me a box of chocolates.
Brand;Marque;Nike is a popular brand.
Alone;Seul;He lives alone.
Before;Avant;I had lunch before going out.
Behind;Derrière;The cat is behind the sofa.
Front;Devant / façade;The front of the house is painted white.
Oven-baked pizza;Pizza cuite au four;We had an oven-baked pizza for dinner.
Package holiday;Voyage organisé;We booked a package holiday to Spain.
Immaculate;Impeccable;Her house is always immaculate.
Spotless;Impeccable / sans tache;The kitchen is spotless.
WWOOFing;Volontariat dans des fermes bio;They are doing WWOOFing in Italy.
Ski lift;Remontée mécanique;We took the ski lift to the top.
Dormitory;Dortoir;The students sleep in a dormitory.
Playground;Aire de jeux;The kids are playing in the playground.
Heat wave;Canicule;The heat wave lasted two weeks.
Waterfall;Cascade;We swam near the waterfall.
Godmother;Marraine;My godmother gave me a present.
Sleeping bag;Sac de couchage;I forgot my sleeping bag for camping.
Picky;Difficile (sur la nourriture);She is picky about vegetables.
Fussy;Tatillon / difficile;He is fussy about his clothes.
Choosy;Sélectif / difficile;He is very choosy when buying shoes.
Enough;Assez;I don’t have enough money.
Two doctors;Deux médecins;I used the expression 'Two doctors' in my presentation.
They have lived in Braine;Ils vivent à Braine (depuis…);I used the expression 'They have lived in Braine' in my presentation.
Every other day;Un jour sur deux;I go to the gym every other day.
Stop over;Faire une escale;We stopped over in Madrid.
Step over;Enjamber;Step over the puddle.
To land;Atterrir;The plane landed safely.
Across;De l’autre côté;Across the river there is a park.
Next to;À côté de;She sat next to me.
Close / Near to;Près de;The station is near to the museum.
In the Basque region;Dans la région basque;We spent a week in the Basque region.
The Camino;Le chemin de Compostelle;They walked the Camino last summer.
Strange accent;Accent étrange;He spoke with a strange accent.
Piece of music;Morceau de musique;This piece of music is beautiful.
Classical music;Musique classique;I often listen to classical music.
To listen to;Écouter;I like to listen to podcasts.
We ended up…;On a fini par…;We ended up taking a taxi.
To feel comfortable;Se sentir à l’aise;I feel comfortable speaking English.
Next story;Prochaine histoire;Next story, please.
Have you ever been to Asia?;Es-tu déjà allé en Asie ?;Have you ever been to Asia?
How long have you been working?;Depuis combien de temps travailles-tu ?;How long have you been working?
How long did you live… ?;Combien de temps as-tu vécu… ?;How long did you live… ?
How long have you lived… ?;Depuis combien de temps vis-tu… ?;How long have you lived… ?
To mist;Se couvrir de brume;I want to mist.
To drop (dropped);Tomber / laisser tomber;I dropped my keys.
To freeze → froze → frozen;Geler;The lake froze last winter.
To feel → felt → felt;Ressentir / se sentir;I felt tired yesterday.
To take → took → taken;Prendre;She has taken my book.
To wind → wound → wound;Enrouler / vent;Wind the rope around the post.
To inquire;Demander / se renseigner;I called to inquire about the price.
An inquiry (US) / enquiry (UK);Une enquête / une demande d’information;I used the expression 'An inquiry' in my presentation.
To stop doing;Arrêter de faire;He stopped smoking.
To stop to do;S’arrêter pour faire;We stopped to eat.
To suggest doing;Suggérer de faire;She suggested going to the cinema.
To enjoy doing;Aimer faire;I enjoy reading.
To want to do;Vouloir faire;They want to learn English.
To decide to do;Décider de faire;We decided to leave early.
Potty;Pot / toilette (familier);The toddler needs the potty.
Land;Terre / pays;The plane finally reached land.
Lande;Lande (terrain vague);The hikers crossed the lande in the afternoon.
Example;Exemple;Can you give me an example?
Composition;Composition;We wrote a short composition in class.
Facility;Installation / équipement;The sports facility is new.
Disease;Maladie;This disease spreads quickly.
I don’t like;Je n’aime pas;I used the expression 'I don’t like' in my presentation.
I dislike;Je déteste;I used the expression 'I dislike' in my presentation.
I’m not keen on…;Je ne suis pas fan de…;I used the expression 'I’m not keen on…' in my presentation.
I have lived in Belgium for 3 years;Je vis en Belgique depuis 3 ans;I used the expression 'I have lived in Belgium for 3 years' in my presentation.
I have worked at Sopra for more than 3 years;Je travaille chez Sopra depuis plus de 3 ans;I used the expression 'I have worked at Sopra for more than 3 years' in my presentation.
I have been driving to school for…;Je vais à l’école en voiture depuis…;I used the expression 'I have been driving to school for…' in my presentation.
uh;euh;Uh, I’m not sure about that.
like;genre;It was, like, amazing!
you know;tu sais;It’s simple, you know.
I mean;je veux dire;I mean, we should leave now.
actually;en fait;Actually, I’ve already finished.
Past Simple;Prétérit (action terminée et datée);I visited London last year.
Past Continuous;Action en cours dans le passé;I was reading when he called.
Past Perfect;Action antérieure à une autre action passée;I had finished my homework before I went out.
Past Perfect Continuous;Action qui durait avant une autre action passée (accent sur la durée);I had been studying for two hours when she arrived.
Present Perfect;Expériences / conséquence / continuité;I have lived here for 10 years.
Present Perfect Continuous;Action commencée dans le passé et toujours en cours / accent sur la durée;I have been studying for three hours.
been vs gone (been to);Allé puis revenu;He’s been to London.
been vs gone (gone to);Parti et y est encore;He’s gone to London.
An earthquake;Un tremblement de terre;I used the expression 'An earthquake' in my presentation.
To pass on;Transmettre;I want to pass on.
To raise awareness;Sensibiliser;I want to raise awareness.
To raise questions;Soulever des questions;I want to raise questions.
We all / all of us;Nous tous;We all agree on this point.
Both of us / we both;Nous deux;Both of us arrived late.
Neither of us;Aucun de nous deux;Neither of us knew the answer.
None of us;Aucun de nous;None of us could help.
Because;Parce que;Because it was raining, we stayed inside.
Recovery;Rétablissement, guérison;Her recovery took three months.
Something like that;Quelque chose comme ça;It happened on a Monday, or something like that.
Refund;Remboursement / se faire rembourser;I asked for a refund at the counter.
Motorway;Autoroute;We drove along the motorway at night.
To break down;Tomber en panne;Our car broke down on the motorway.
Premium (insurance);Prime d’assurance;Our insurance premium increased this year.
Deductible / franchise;Franchise (assurance);The deductible on this policy is high.
Tow truck;Dépanneuse;A tow truck came to help us.
Dump;Décharge;We took the old furniture to the dump.
Pick up truck;Camionnette / pick-up;He drives a pick up truck.
A pound;Une fourrière;The dog was taken to a pound.
Which airline was it?;Quelle compagnie aérienne était-ce ?;Which airline was it?
To go to;Aller à;I want to go to.
To throw;Jeter;I want to throw.
Window;Fenêtre;Open the window, please.
To get off / to go out;Descendre / sortir;I want to get off / to go out.
To go through;Passer à travers / traverser;I want to go through.
It’s no use getting angry;Ça ne sert à rien de s’énerver;It’s no use getting angry about it.
The sea front;Le front de mer;We walked along the sea front.
Carpet;Tapis;The carpet is soft.
Our cost;Notre coût;Our cost has increased this quarter.
I started making / developing a mobile app;J’ai commencé à créer/développer une application mobile;I started developing a mobile app last month.
I didn’t do anything because I had Covid;Je n’ai rien fait parce que j’ai eu le Covid;I didn’t do anything because I had Covid.
Where did you meet?;Où vous êtes-vous rencontrés ?;Where did you meet?
I’m on call / on duty;Je suis de garde;I’m on call tonight.
Where do you work?;Où travailles-tu ?;Where do you work?
To give something to somebody;Donner quelque chose à quelqu’un;I want to give something to somebody.
To give somebody something;Donner quelque chose à quelqu’un;I want to give somebody something.
To buy somebody something;Acheter quelque chose à quelqu’un;I want to buy somebody something.
To buy something for somebody;Acheter quelque chose pour quelqu’un;I want to buy something for somebody.
To make;Faire / fabriquer;I want to make.
To get;Obtenir;I want to get.
To bring;Apporter;I want to bring.
To cook;Cuisiner;I want to cook.
To find;Trouver;I want to find.
Audience;Assemblée / public;The audience clapped loudly.
Spectators / viewers;Spectateurs / téléspectateurs;Millions of viewers watched the match.
Have you heard from…;As-tu eu des nouvelles de…;Have you heard from him lately?
A friend;Un ami;A friend called me yesterday.
Through;À travers;We walked through the park.
To feel down in the dumps;Avoir le moral à zéro / être déprimé;I felt down in the dumps after the news.
To kill two birds with one stone;Faire d’une pierre deux coups;I killed two birds with one stone by visiting my friend and shopping.
To break the news;Annoncer une nouvelle;She broke the news to her parents.
To find out;Découvrir / apprendre;We found out the truth yesterday.
To get on well with somebody;Bien s’entendre avec quelqu’un;I get on well with my team.
It didn’t show;Ça ne s’est pas vu;He was nervous but it didn’t show.
To avoid;Éviter;You should avoid fast food.
This sort of thing;Ce genre de chose;I enjoy this sort of thing.
Have you been to Congo?;Es-tu déjà allé(e) au Congo ?;Have you been to Congo?
I have known you for 2 years;Je te connais depuis 2 ans;I used the expression 'I have known you for 2 years' in my presentation.
How long have you stayed...?;Depuis combien de temps es-tu resté(e)... ?;How long have you stayed...?
Have you lived in an apartment?;As-tu vécu dans un appartement ?;Have you lived in an apartment?
Do you live with roommates?;Vis-tu avec des colocataires ?;Do you live with roommates?
Have you done...?;As-tu fait...?;Have you done...?
I do a lot of...;Je fais beaucoup de...;I do a lot of...
I’m full;Je suis rassasié(e);I used the expression 'I’m full' in my presentation.
Hot air balloon;Montgolfière;We took a hot air balloon ride.
Fall;Tomber;Don’t fall off the bike!
Chemistry;Chimie;I studied chemistry at school.
Password;Mot de passe;Change your password regularly.
To ask;Demander;I want to ask.
To post;Publier / poster;I want to post.
To shoot;Tirer;I want to shoot.
To recruit;Recruter;I want to recruit.
Foster parent;Parent d’accueil;She became a foster parent last year.
Hackathon;Marathon de programmation;We won a prize at the hackathon.
Survival / survival camp;Survie / camp de survie;He joined a survival camp in summer.
To raise;Lever / récolter (argent, fonds);I want to raise.
To raise money;Collecter / récolter de l’argent;I want to raise money.
Campaign;Campagne;The campaign starts next week.
To support;Soutenir / appuyer;I want to support.
Comprehensive school;Collège (UK, non sélectif);He went to a comprehensive school.
Grammar school;Lycée sélectif (UK);She studied at a grammar school.
Junior high school;Collège (US);He teaches in a junior high school.
Senior high school;Lycée (US);She graduated from senior high school.
People fail;Les gens échouent;People fail, and that’s okay.
to raise a question;soulever une question;She raised a question about the budget.
to notice;remarquer;I noticed a mistake.
to check out the route;vérifier l’itinéraire;Let’s check out the route before leaving.
to handle the dog of guests;s’occuper du chien des invités;I handled the guests’ dog while they ate.
to shout;crier;Don’t shout at me.
to enjoy;apprécier / aimer;I enjoy cooking.
to pass away;décéder;Her grandfather passed away last year.
you didn’t come with me;tu n’es pas venu avec moi;You didn’t come with me yesterday.
we set off from Brussels;nous sommes partis de Bruxelles;We set off from Brussels at dawn.
I was still at work;j’étais encore au travail;I was still at work at 8 p.m.
I wish / if only;je regrette / j’aimerais que;I wish I knew.
I wish I had…;j’aurais aimé avoir… (regret passé);I wish I had studied more.
I should have + past participle;j’aurais dû…;I should have called you.
It’s a pity that…;c’est dommage que…;It’s a pity that you can’t come.
I’d like / I wish / if only;j’aimerais / je souhaite;I’d like to visit Japan one day.
dimly;faiblement / mal éclairé;The room was dimly lit.
dull;ennuyeux;The lecture was dull.
unspoilt;préservé;The beach is unspoilt and beautiful.
uncrowded;peu fréquenté;The museum was uncrowded in the morning.
breathtaking;à couper le souffle;The view from the top was breathtaking.
vibrant;dynamique;It’s a vibrant neighborhood.
remote;isolé;They live in a remote village.
inaccessible;inaccessible;The cave is inaccessible in winter.
commercial;commercial;This is a commercial district.
run-down;délabré;They renovated a run-down building.
a few;quelques;We have a few minutes left.
very few;très peu;Very few people knew about it.
a few weeks left;il reste quelques semaines;There are a few weeks left before exams.
at a time;à un moment donné;Take two tablets at a time.
off the coast of;au large de;The island is off the coast of Portugal.
grocery shop;épicerie;There is a small grocery shop on the corner.
hearty / filling;copieux;We had a hearty, filling meal.
atmosphere;ambiance;The restaurant has a cozy atmosphere.
costume;déguisement / tenue;He wore a vampire costume.
outfit;tenue vestimentaire;Her outfit looks great.
to be dressed to kill;être très bien habillé(e);I want to be dressed to kill.
bald;chauve;He started to go bald at 30.
ill;malade;She felt ill and stayed home.
black plastic pest (→ bag);sac plastique noir (probable);He put the trash in a black plastic bag.
we are thinking of…;nous envisageons de…;We are thinking of moving house.
Speak negative!;Pense à bien utiliser les formes négatives;Speak negative—don’t forget to use ‘don’t’ and ‘didn’t’.
Syllables;Prononciation selon les syllabes;Clap the syllables to check the stress.
stopover;escale;We had a short stopover in Madrid.
as the result / therefore;par conséquent;"It rained all day; therefore we stayed home."
wedding day;jour du mariage;Their wedding day was beautiful.
the marriage;le mariage;Their marriage lasted many years.
the layout;la disposition;The layout of this kitchen is practical.
wise;sage;He is a very wise man.
the wisdom;la sagesse;She spoke with great wisdom.
olent;(mot manquant / à vérifier);This word needs to be checked.
embryology;cambriologie;She studies embryology at university.
burglary;cambriolage;There was a burglary in our street last night.
to burgle;cambrioler;They tried to burgle the house at night.
hold up / stick up;braquage;The bank was the scene of a hold-up.
to break into;s’introduire par effraction;Someone tried to break into the store.
a claw;griffe;The cat scratched me with its claws.
beak;bec;The bird used its beak to pick food.
to lay eggs;pondre des œufs;Hens lay eggs every day.
a mammal;mammifère;A whale is a mammal, not a fish.
carrion / scavenger;charognard (corrigé);Vultures feed on carrion.
the venom;venin;The snake injects venom when it bites.
venomous;venimeux;Some spiders are venomous.
the same cuisine;de ma cuisine;We share the same cuisine at home.
to sweat;transpirer;I start to sweat when I run.
foreign;étranger;She likes foreign languages.
busy;occupé;I’m too busy right now.
to change;changer;I need to change my clothes.
